transaction_id,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,Revenue,CustomerID,Country,Year,Month
1,577258,20727,LUNCH BAG  BLACK SKULL.,1,2011-11-18 12:27:00,1.65,1.65,16764.0,United Kingdom,2011,11
2,571433,22733,3D TRADITIONAL CHRISTMAS STICKERS,18,2011-10-17 13:19:00,1.25,22.5,13015.0,United Kingdom,2011,10
3,566561,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-09-13 12:13:00,1.95,15.6,18145.0,United Kingdom,2011,9
4,556879,22622,BOX OF VINTAGE ALPHABET BLOCKS,1,2011-06-15 12:07:00,11.95,11.95,16461.0,United Kingdom,2011,6
5,564742,23333,IVORY WICKER HEART MEDIUM,1,2011-08-28 15:01:00,1.25,1.25,17346.0,United Kingdom,2011,8
6,572045,21479,WHITE SKULL HOT WATER BOTTLE ,2,2011-10-20 12:11:00,4.25,8.5,14527.0,United Kingdom,2011,10
7,571054,22161,HEART DECORATION RUSTIC HANGING ,3,2011-10-13 13:58:00,0.19,0.5700000000000001,14234.0,United Kingdom,2011,10
8,571456,20727,LUNCH BAG  BLACK SKULL.,5,2011-10-17 13:57:00,1.65,8.25,16729.0,United Kingdom,2011,10
9,541112,22520,CHILDS GARDEN TROWEL BLUE ,12,2011-01-13 15:17:00,0.85,10.2,18085.0,United Kingdom,2011,1
10,547580,20676,RED RETROSPOT BOWL,8,2011-03-24 10:48:00,1.25,10.0,13488.0,United Kingdom,2011,3
11,564749,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,1,2011-08-30 08:15:00,12.75,12.75,12708.0,Germany,2011,8
12,572567,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2011-10-25 10:27:00,1.65,19.799999999999997,12398.0,Switzerland,2011,10
13,543294,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-02-07 11:39:00,0.95,0.95,17849.0,United Kingdom,2011,2
14,561462,22624,IVORY KITCHEN SCALES,10,2011-07-27 12:19:00,7.65,76.5,14088.0,United Kingdom,2011,7
15,540023,21658,GLASS  BEURRE DISH,1,2011-01-04 12:58:00,3.95,3.95,15039.0,United Kingdom,2011,1
16,572219,23205,CHARLOTTE BAG VINTAGE ALPHABET ,2,2011-10-21 13:17:00,0.85,1.7,17463.0,United Kingdom,2011,10
17,538532,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,2010-12-13 10:31:00,3.75,30.0,13209.0,United Kingdom,2010,12
18,578544,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,4,2011-11-24 15:01:00,3.75,15.0,17096.0,United Kingdom,2011,11
19,573083,22489,PACK OF 12 TRADITIONAL CRAYONS,6,2011-10-27 14:22:00,0.42,2.52,13735.0,United Kingdom,2011,10
20,569110,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-09-30 12:44:00,4.95,14.850000000000001,17675.0,United Kingdom,2011,9
21,547075,22726,ALARM CLOCK BAKELIKE GREEN,12,2011-03-20 14:35:00,3.75,45.0,15288.0,United Kingdom,2011,3
22,567514,23032,DRAWER KNOB CRACKLE GLAZE IVORY,4,2011-09-20 15:10:00,1.65,6.6,16928.0,United Kingdom,2011,9
23,565246,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,48,2011-09-02 10:27:00,2.55,122.39999999999999,12408.0,Belgium,2011,9
24,578851,22121,NOEL WOODEN BLOCK LETTERS ,2,2011-11-27 11:05:00,5.95,11.9,16407.0,United Kingdom,2011,11
25,578278,20983,12 PENCILS TALL TUBE RED RETROSPOT,24,2011-11-23 13:51:00,0.85,20.4,12748.0,United Kingdom,2011,11
26,569406,22037,ROBOT BIRTHDAY CARD,36,2011-10-04 09:09:00,0.42,15.12,16253.0,United Kingdom,2011,10
27,553740,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-05-19 09:31:00,1.25,15.0,16647.0,United Kingdom,2011,5
28,537140,22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,1,2010-12-05 12:53:00,0.85,0.85,12748.0,United Kingdom,2010,12
29,568200,23395,BELLE JARDINIERE CUSHION COVER,8,2011-09-25 14:58:00,3.75,30.0,16198.0,United Kingdom,2011,9
30,560783,85132C,CHARLIE AND LOLA FIGURES TINS,12,2011-07-21 10:24:00,1.95,23.4,15108.0,European Community,2011,7
31,574034,46000M,POLYESTER FILLER PAD 45x45cm,1,2011-11-02 12:45:00,1.55,1.55,17841.0,United Kingdom,2011,11
32,578019,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,1,2011-11-22 13:11:00,3.29,3.29,17360.0,United Kingdom,2011,11
33,555567,22652,TRAVEL SEWING KIT,10,2011-06-05 15:25:00,1.65,16.5,17050.0,United Kingdom,2011,6
34,549951,47599A,PINK PARTY BAGS,6,2011-04-13 12:57:00,2.1,12.600000000000001,13134.0,United Kingdom,2011,4
35,544479,21485,RETROSPOT HEART HOT WATER BOTTLE,24,2011-02-21 10:28:00,4.25,102.0,14646.0,Netherlands,2011,2
36,571486,16219,HOUSE SHAPE PENCIL SHARPENER,48,2011-10-17 14:59:00,0.06,2.88,17612.0,United Kingdom,2011,10
37,562368,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,24,2011-08-04 14:06:00,0.65,15.600000000000001,16570.0,United Kingdom,2011,8
38,544800,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-02-23 13:45:00,4.95,14.850000000000001,15687.0,United Kingdom,2011,2
39,567460,22417,PACK OF 60 SPACEBOY CAKE CASES,1,2011-09-20 12:30:00,0.55,0.55,15888.0,United Kingdom,2011,9
40,570716,23238,SET OF 4 KNICK KNACK TINS LONDON ,6,2011-10-12 10:26:00,4.15,24.900000000000002,17193.0,United Kingdom,2011,10
