InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
577258,20727,LUNCH BAG  BLACK SKULL.,1,18-11-2011 12:27,1.65,16764.0,United Kingdom
571433,22733,3D TRADITIONAL CHRISTMAS STICKERS,18,17-10-2011 13:19,1.25,13015.0,United Kingdom
566561,22367,CHILDRENS APRON SPACEBOY DESIGN,8,13-09-2011 12:13,1.95,18145.0,United Kingdom
556879,22622,BOX OF VINTAGE ALPHABET BLOCKS,1,15-06-2011 12:07,11.95,16461.0,United Kingdom
564742,23333,IVORY WICKER HEART MEDIUM,1,28-08-2011 15:01,1.25,17346.0,United Kingdom
572045,21479,WHITE SKULL HOT WATER BOTTLE ,2,20-10-2011 12:11,4.25,14527.0,United Kingdom
571054,22161,HEART DECORATION RUSTIC HANGING ,3,13-10-2011 13:58,0.19,14234.0,United Kingdom
571456,20727,LUNCH BAG  BLACK SKULL.,5,17-10-2011 13:57,1.65,16729.0,United Kingdom
541112,22520,CHILDS GARDEN TROWEL BLUE ,12,13-01-2011 15:17,0.85,18085.0,United Kingdom
547580,20676,RED RETROSPOT BOWL,8,24-03-2011 10:48,1.25,13488.0,United Kingdom
564749,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,1,30-08-2011 08:15,12.75,12708.0,Germany
572567,21731,RED TOADSTOOL LED NIGHT LIGHT,12,25-10-2011 10:27,1.65,12398.0,Switzerland
543294,21034,REX CASH+CARRY JUMBO SHOPPER,1,07-02-2011 11:39,0.95,17849.0,United Kingdom
561462,22624,IVORY KITCHEN SCALES,10,27-07-2011 12:19,7.65,14088.0,United Kingdom
540023,21658,GLASS  BEURRE DISH,1,04-01-2011 12:58,3.95,15039.0,United Kingdom
572219,23205,CHARLOTTE BAG VINTAGE ALPHABET ,2,21-10-2011 13:17,0.85,17463.0,United Kingdom
538532,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,13-12-2010 10:31,3.75,13209.0,United Kingdom
578544,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,4,24-11-2011 15:01,3.75,17096.0,United Kingdom
573083,22489,PACK OF 12 TRADITIONAL CRAYONS,6,27-10-2011 14:22,0.42,13735.0,United Kingdom
569110,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,30-09-2011 12:44,4.95,17675.0,United Kingdom
547075,22726,ALARM CLOCK BAKELIKE GREEN,12,20-03-2011 14:35,3.75,15288.0,United Kingdom
567514,23032,DRAWER KNOB CRACKLE GLAZE IVORY,4,20-09-2011 15:10,1.65,16928.0,United Kingdom
565246,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,48,02-09-2011 10:27,2.55,12408.0,Belgium
578851,22121,NOEL WOODEN BLOCK LETTERS ,2,27-11-2011 11:05,5.95,16407.0,United Kingdom
578278,20983,12 PENCILS TALL TUBE RED RETROSPOT,24,23-11-2011 13:51,0.85,12748.0,United Kingdom
569406,22037,ROBOT BIRTHDAY CARD,36,04-10-2011 09:09,0.42,16253.0,United Kingdom
553740,21232,STRAWBERRY CERAMIC TRINKET BOX,12,19-05-2011 09:31,1.25,16647.0,United Kingdom
537140,22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,1,05-12-2010 12:53,0.85,12748.0,United Kingdom
568200,23395,BELLE JARDINIERE CUSHION COVER,8,25-09-2011 14:58,3.75,16198.0,United Kingdom
560783,85132C,CHARLIE AND LOLA FIGURES TINS,12,21-07-2011 10:24,1.95,15108.0,European Community
574034,46000M,POLYESTER FILLER PAD 45x45cm,1,02-11-2011 12:45,1.55,17841.0,United Kingdom
578019,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,1,22-11-2011 13:11,3.29,17360.0,United Kingdom
555567,22652,TRAVEL SEWING KIT,10,05-06-2011 15:25,1.65,17050.0,United Kingdom
549951,47599A,PINK PARTY BAGS,6,13-04-2011 12:57,2.1,13134.0,United Kingdom
544479,21485,RETROSPOT HEART HOT WATER BOTTLE,24,21-02-2011 10:28,4.25,14646.0,Netherlands
571486,16219,HOUSE SHAPE PENCIL SHARPENER,48,17-10-2011 14:59,0.06,17612.0,United Kingdom
562368,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,24,04-08-2011 14:06,0.65,16570.0,United Kingdom
544800,22138,BAKING SET 9 PIECE RETROSPOT ,3,23-02-2011 13:45,4.95,15687.0,United Kingdom
567460,22417,PACK OF 60 SPACEBOY CAKE CASES,1,20-09-2011 12:30,0.55,15888.0,United Kingdom
570716,23238,SET OF 4 KNICK KNACK TINS LONDON ,6,12-10-2011 10:26,4.15,17193.0,United Kingdom
544668,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,22-02-2011 15:14,2.95,16573.0,United Kingdom
540397,82482,WOODEN PICTURE FRAME WHITE FINISH,2,06-01-2011 18:57,2.55,13187.0,United Kingdom
557871,23110,PARISIENNE KEY CABINET ,2,23-06-2011 12:41,5.75,13458.0,United Kingdom
548899,22381,TOY TIDY PINK POLKADOT,100,04-04-2011 16:31,1.85,15838.0,United Kingdom
550288,84748,FOLK FELT HANGING MULTICOL GARLAND,3,15-04-2011 14:21,3.75,17367.0,United Kingdom
562444,21916,SET 12 RETRO WHITE CHALK STICKS,6,04-08-2011 18:44,0.42,14713.0,United Kingdom
563743,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4,19-08-2011 09:23,3.75,12828.0,United Kingdom
555746,85114A,BLACK ENCHANTED FOREST PLACEMAT,2,07-06-2011 10:55,1.65,14606.0,United Kingdom
